X17831 | -20.3040000000001 -20.3040000000001
X21381 | -20.711 -20.711
X16052 | -17.8679999999999 -17.8679999999999
X14086 | -38.7329999999999 -38.7329999999999
X2054 | -9.24700000000007 -9.24700000000007
X15423 | -27.8689999999999 -27.8689999999999
X20005 | -11.8969999999999 -11.8969999999999
X11723 | -8.18399999999997 -8.18399999999997
X29418 | -10.5809999999999 -10.5809999999999
X22519 | -13.903 -13.903
X12584 | -19.6880000000001 -19.6880000000001
X13738 | -17.894 -17.894
X3347 | -33.741 -33.741
X14865 | -13.7619999999999 -13.7619999999999
X43325 | -11.808 -11.808
X15095 | -20.508 -20.508
X25936 | -16.8879999999999 -16.8879999999999
X38278 | -2.05999999999995 -2.05999999999995
X49279 | -4.32999999999993 -4.32999999999993
X30688 | -19.0930000000001 -19.0930000000001
X37214 | -13.4369999999999 -13.4369999999999
X12531 | -39.845 -39.845
X17653 | -34.1859999999999 -34.1859999999999
X15203 | -15.413 -15.413
X15860 | -10.6199999999999 -10.6199999999999
X19805 | -22.1030000000001 -22.1030000000001
X15630 | -37.01 -37.01
X35709 | -13.3050000000001 -13.3050000000001
X30426 | -1.31099999999992 -1.31099999999992
X19802 | -14.154 -14.154
X13985 | -7.84899999999993 -7.84899999999993
X34458 | -12.6020000000001 -12.6020000000001
X65188 | -3.79199999999992 -3.79199999999992
X28449 | -1.29500000000007 -1.29500000000007
X50118 | -9.26900000000001 -9.26900000000001
X34052 | -12.384 -12.384
X25634 | -7.71399999999994 -7.71399999999994
X33318 | -17.598 -17.598
X37336 | -11.7760000000001 -11.7760000000001
X318 | -2.8309999999999 -2.8309999999999
X11338 | -27.489 -27.489
X14713 | -24.21 -24.21
X63072 | -1.1389999999999 -1.1389999999999
X61104 | -3.36799999999994 -3.36799999999994
X41889 | -2.67000000000007 -2.67000000000007
X18314 | -21.539 -21.539
X17958 | -15.0820000000001 -15.0820000000001
X19029 | -19.114 -19.114
X46952 | -9.13799999999992 -9.13799999999992
X27050 | -0.940000000000055 -0.940000000000055
X24972 | -13.5450000000001 -13.5450000000001
X33497 | -12.7380000000001 -12.7380000000001
X1456 | -24.549 -24.549
X25517 | -16.2629999999999 -16.2629999999999
X19587 | -9.0329999999999 -9.0329999999999
X24420 | -8.21299999999997 -8.21299999999997
X28309 | -2.77199999999993 -2.77199999999993
X39072 | -4.75999999999999 -4.75999999999999
X55521 | -1.77099999999996 -1.77099999999996
X58782 | -5.89699999999993 -5.89699999999993
X38742 | -15.4390000000001 -15.4390000000001
X17366 | -16.796 -16.796
X22210 | -21.6289999999999 -21.6289999999999
X17745 | -28.355 -28.355
X25617 | -8.71100000000001 -8.71100000000001
X31151 | -4.78400000000011 -4.78400000000011
X46262 | -1.28899999999999 -1.28899999999999
X10364 | -8.46900000000005 -8.46900000000005
X37287 | -0.920000000000073 -0.920000000000073
X22924 | -10.73 -10.73
X11816 | -1.40499999999997 -1.40499999999997
X23201 | -9.85599999999999 -9.85599999999999
X44686 | -1.029 -1.029
X27798 | -5.95900000000006 -5.95900000000006
X34893 | -11.9480000000001 -11.9480000000001
X31683 | -14.864 -14.864
X41700 | -8.07199999999989 -8.07199999999989
X15704 | -13.982 -13.982
X38881 | -11.55 -11.55
X48780 | -2.28400000000011 -2.28400000000011
X22884 | -3.78400000000011 -3.78400000000011
X23926 | -5.0920000000001 -5.0920000000001
X12890 | -23.3330000000001 -23.3330000000001
X17092 | -7.27299999999991 -7.27299999999991
X11861 | -12.479 -12.479
X16551 | -14.3789999999999 -14.3789999999999
X40906 | -15.306 -15.306
X29489 | -4.37799999999993 -4.37799999999993
X20487 | -14.106 -14.106
X46269 | -3.58300000000008 -3.58300000000008
X21458 | -15.4269999999999 -15.4269999999999
X1563 | -16.7750000000001 -16.7750000000001
