X13602 | -17.7559999999999 -17.7559999999999
X1265 | -31.4009999999998 -31.4009999999998
X16134 | -15.547 -15.547
X37988 | -1.06899999999996 -1.06899999999996
X43755 | -11.836 -11.836
X2290 | -30.528 -30.528
X22430 | -6.45399999999995 -6.45399999999995
X27035 | -13.8909999999998 -13.8909999999998
X10209 | -21.9199999999998 -21.9199999999998
X27234 | -6.46799999999985 -6.46799999999985
X26033 | -7.18499999999995 -7.18499999999995
X20166 | -12.365 -12.365
X21554 | -15.4579999999999 -15.4579999999999
X51669 | -7.32500000000005 -7.32500000000005
X18370 | -16.018 -16.018
X35945 | -23.5609999999999 -23.5609999999999
X51363 | -9.13699999999994 -9.13699999999994
X43914 | -12.788 -12.788
X11234 | -10.0039999999999 -10.0039999999999
X29915 | -10.7169999999999 -10.7169999999999
X23373 | -23.1699999999998 -23.1699999999998
X18530 | -12.4159999999999 -12.4159999999999
X27339 | -16.367 -16.367
X18809 | -3.14499999999998 -3.14499999999998
X45186 | -7.11099999999988 -7.11099999999988
X20902 | -4.41300000000001 -4.41300000000001
X42546 | -8.38199999999983 -8.38199999999983
X51960 | -10.8719999999998 -10.8719999999998
X20742 | -5.99199999999996 -5.99199999999996
X14027 | -6.77099999999996 -6.77099999999996
X35587 | -2.19100000000003 -2.19100000000003
X19309 | -4.50599999999986 -4.50599999999986
X12297 | -4.6869999999999 -4.6869999999999
X13267 | -15.961 -15.961
X4615 | -12.904 -12.904
X1175 | -10.204 -10.204
X15390 | -14.3 -14.3
X27338 | -13.135 -13.135
X21099 | -21.076 -21.076
X10189 | -9.02099999999996 -9.02099999999996
X16483 | -6.83999999999992 -6.83999999999992
X18295 | -5.53499999999985 -5.53499999999985
X11850 | -9.22199999999998 -9.22199999999998
X24376 | -29.856 -29.856
X16929 | -11.298 -11.298
X28428 | -26.76 -26.76
X35664 | -15.796 -15.796
X4536 | -40.037 -40.037
X4470 | -33.558 -33.558
X20973 | -19.2670000000001 -19.2670000000001
X40330 | -8.14099999999985 -8.14099999999985
X42175 | -9.98099999999999 -9.98099999999999
X28925 | -22.009 -22.009
X25945 | -10.5549999999998 -10.5549999999998
X15216 | -7.88300000000004 -7.88300000000004
X39979 | -3.35099999999989 -3.35099999999989
X10762 | -22.268 -22.268
X14325 | -26.95 -26.95
X17823 | -26.114 -26.114
X26384 | -14.723 -14.723
X14207 | -21.595 -21.595
X37484 | -8.59299999999985 -8.59299999999985
X46795 | -7.71699999999987 -7.71699999999987
X33943 | -2.71299999999997 -2.71299999999997
X28038 | -0.886999999999944 -0.886999999999944
X52758 | -6.21199999999999 -6.21199999999999
X33122 | -2.38300000000004 -2.38300000000004
X21820 | -8.79899999999998 -8.79899999999998
X24180 | -5.40499999999997 -5.40499999999997
X21449 | -3.47399999999993 -3.47399999999993
X25977 | -10.0799999999999 -10.0799999999999
X18247 | -6.11699999999996 -6.11699999999996
X44508 | -8.19100000000003 -8.19100000000003
X10682 | -11.1899999999998 -11.1899999999998
X3130 | -18.847 -18.847
X37117 | -7.47900000000004 -7.47900000000004
X17583 | -25.1089999999999 -25.1089999999999
X37765 | -4.92100000000005 -4.92100000000005
X20123 | -11.664 -11.664
X26881 | -11.8920000000001 -11.8920000000001
X15008 | -6.44200000000001 -6.44200000000001
X31770 | -4.38499999999999 -4.38499999999999
X35711 | -2.39599999999996 -2.39599999999996
X29961 | -4.68599999999992 -4.68599999999992
X27503 | -8.92200000000003 -8.92200000000003
X73563 | -0.298000000000002 -0.298000000000002
X40880 | -13.0609999999999 -13.0609999999999
X28596 | -13.3999999999999 -13.3999999999999
X41851 | -4.74800000000005 -4.74800000000005
X23358 | -10.279 -10.279
X27938 | -8.36099999999988 -8.36099999999988
X6765 | -25.002 -25.002
X32068 | -7.73799999999983 -7.73799999999983
X52004 | -0.819999999999936 -0.819999999999936
X25533 | -11.797 -11.797
X33081 | -10.9659999999999 -10.9659999999999
X32818 | -13.154 -13.154
X27574 | -14.366 -14.366
X12608 | -15.8899999999999 -15.8899999999999
X24658 | -9.39899999999989 -9.39899999999989
X20209 | -12.048 -12.048
X41399 | -7.24199999999996 -7.24199999999996
X30295 | -8.63599999999997 -8.63599999999997
X5028 | -9.423 -9.423
X18509 | -7.71299999999997 -7.71299999999997
X33483 | -6.93200000000002 -6.93200000000002
X32107 | -5.31799999999998 -5.31799999999998
X39113 | -1.75800000000004 -1.75800000000004
X10135 | -5.99900000000002 -5.99900000000002
X30043 | -3.15300000000002 -3.15300000000002
X41556 | -0.832999999999856 -0.832999999999856
X34861 | -12.444 -12.444
X27439 | -9.56499999999983 -9.56499999999983
X33878 | -2.88300000000004 -2.88300000000004
X63268 | -2.68999999999983 -2.68999999999983
X36998 | -2.85400000000004 -2.85400000000004
X23852 | -5.38300000000004 -5.38300000000004
X36591 | -6.08399999999983 -6.08399999999983
X1502 | -5.91799999999989 -5.91799999999989
X30517 | -0.875999999999976 -0.875999999999976
X23156 | -11.8039999999999 -11.8039999999999
X35598 | -4.53099999999995 -4.53099999999995
