X50445 | -5.47600000000011 -5.47600000000011
X56482 | -1.28199999999993 -1.28199999999993
X20131 | -16.8299999999999 -16.8299999999999
X23955 | -12.069 -12.069
X31959 | -10.104 -10.104
X37682 | -8.00800000000004 -8.00800000000004
X53770 | -6.29999999999995 -6.29999999999995
X42954 | -2.74000000000001 -2.74000000000001
X26142 | -28.5130000000001 -28.5130000000001
X26379 | -14.384 -14.384
X49985 | -2.99900000000002 -2.99900000000002
X11509 | -19.3620000000001 -19.3620000000001
X72128 | -1.22299999999996 -1.22299999999996
X711 | -9.375 -9.375
X11005 | -22.9449999999999 -22.9449999999999
X32900 | -26.126 -26.126
X50834 | -8.07899999999995 -8.07899999999995
X59899 | -0.919000000000096 -0.919000000000096
X14067 | -20.0350000000001 -20.0350000000001
X1798 | -21.5599999999999 -21.5599999999999
X35420 | -3.30600000000004 -3.30600000000004
X25760 | -1.42499999999995 -1.42499999999995
X20811 | -1.51999999999998 -1.51999999999998
X63029 | -4.01199999999994 -4.01199999999994
X38619 | -8.84000000000015 -8.84000000000015
X47239 | -0.908000000000129 -0.908000000000129
X45563 | -7.14300000000003 -7.14300000000003
X46011 | -8.16100000000006 -8.16100000000006
X40564 | -11.1320000000001 -11.1320000000001
X39393 | -12.846 -12.846
X21098 | -16.9159999999999 -16.9159999999999
X37262 | -3.13100000000009 -3.13100000000009
X29268 | -10.6880000000001 -10.6880000000001
X37728 | -4.21399999999994 -4.21399999999994
X39449 | -8.6400000000001 -8.6400000000001
X18399 | -14.8150000000001 -14.8150000000001
X34714 | -4.18600000000015 -4.18600000000015
X17350 | -12.3389999999999 -12.3389999999999
X27638 | -20.6390000000001 -20.6390000000001
X12933 | -18.71 -18.71
X46817 | -5.99099999999999 -5.99099999999999
X10050 | -8.05099999999993 -8.05099999999993
X37850 | -14.192 -14.192
X18160 | -24.6310000000001 -24.6310000000001
X60814 | -0.822000000000116 -0.822000000000116
X35530 | -1.91700000000014 -1.91700000000014
X23039 | -16.952 -16.952
X22986 | -14.3389999999999 -14.3389999999999
X14469 | -12.3530000000001 -12.3530000000001
X14628 | -18.7329999999999 -18.7329999999999
X58472 | -2.08300000000008 -2.08300000000008
X45611 | -1.14400000000001 -1.14400000000001
X35560 | -9.49800000000005 -9.49800000000005
X12582 | -2.05700000000002 -2.05700000000002
X54294 | -8.78500000000008 -8.78500000000008
X25381 | -10.0710000000001 -10.0710000000001
X35410 | -7.58500000000004 -7.58500000000004
X27834 | -4.18900000000008 -4.18900000000008
X23062 | -15.1500000000001 -15.1500000000001
X35969 | -16.3389999999999 -16.3389999999999
X45481 | -8.76300000000015 -8.76300000000015
X33009 | -4.22299999999996 -4.22299999999996
X57770 | -2.36699999999996 -2.36699999999996
X51038 | -6.71299999999997 -6.71299999999997
X33517 | -4.58699999999999 -4.58699999999999
X43884 | -2.43399999999997 -2.43399999999997
X45083 | -8.38100000000009 -8.38100000000009
X25723 | -19.53 -19.53
X27521 | -5.89900000000011 -5.89900000000011
X33876 | -10.4670000000001 -10.4670000000001
X1485 | -30.7070000000001 -30.7070000000001
X32533 | -5.21800000000007 -5.21800000000007
X16462 | -17.2630000000001 -17.2630000000001
X1614 | -23.0240000000001 -23.0240000000001
X11324 | -30.479 -30.479
X25592 | -7.26999999999998 -7.26999999999998
X58625 | -3.13900000000012 -3.13900000000012
X6473 | -9.89599999999996 -9.89599999999996
X14397 | -9.99000000000001 -9.99000000000001
X26829 | -0.735000000000127 -0.735000000000127
X436 | -17.289 -17.289
X1404 | -15.962 -15.962
X963 | -14.174 -14.174
X34369 | -3.62599999999998 -3.62599999999998
X10888 | -3.93900000000008 -3.93900000000008
X54410 | -5.59300000000007 -5.59300000000007
X49076 | -6.32600000000002 -6.32600000000002
X38236 | -11.008 -11.008
X49242 | -6.92000000000007 -6.92000000000007
X26362 | -15.807 -15.807
X14394 | -4.27099999999996 -4.27099999999996
X33169 | -18.3679999999999 -18.3679999999999
X17604 | -25.8620000000001 -25.8620000000001
X24549 | -25.5319999999999 -25.5319999999999
X32770 | -12.9370000000001 -12.9370000000001
X17983 | -4.77800000000002 -4.77800000000002
X31026 | -7.34899999999993 -7.34899999999993
X41094 | -4.58200000000011 -4.58200000000011
X26314 | -18.5740000000001 -18.5740000000001
X35555 | -6.49199999999996 -6.49199999999996
X39055 | -8.3610000000001 -8.3610000000001
X14871 | -9.63000000000011 -9.63000000000011
X13028 | -10.8869999999999 -10.8869999999999
X16413 | -18.309 -18.309
X42528 | -12.768 -12.768
X38255 | -7.702 -7.702
X39571 | -6.64300000000003 -6.64300000000003
X10271 | -23.7860000000001 -23.7860000000001
X17670 | -10.567 -10.567
X53334 | -7.11900000000014 -7.11900000000014
X31115 | -4.42399999999998 -4.42399999999998
X21120 | -26.5340000000001 -26.5340000000001
X10636 | -40.2450000000001 -40.2450000000001
X36497 | -0.813000000000102 -0.813000000000102
X30032 | -3.65499999999997 -3.65499999999997
X21821 | -8.8420000000001 -8.8420000000001
X32754 | -2.10599999999999 -2.10599999999999
X43523 | -4.83600000000001 -4.83600000000001
X61436 | -0.928000000000111 -0.928000000000111
X63504 | -3.81999999999994 -3.81999999999994
X65210 | -2.95100000000002 -2.95100000000002
X52657 | -2.279 -2.279
X17261 | -8.18499999999995 -8.18499999999995
X52169 | -3.673 -3.673
X3517 | -32.1680000000001 -32.1680000000001
X37966 | -13.422 -13.422
X45129 | -4.54999999999995 -4.54999999999995
X25965 | -18.5409999999999 -18.5409999999999
X15652 | -4.55099999999993 -4.55099999999993
X42842 | -15.133 -15.133
X28300 | -11.681 -11.681
X3068 | -5.22399999999993 -5.22399999999993
X10869 | -18.462 -18.462
X37754 | -1.96100000000001 -1.96100000000001
X31072 | -15.921 -15.921
X29302 | -10.742 -10.742
X50020 | -1.423 -1.423
X37281 | -2.78999999999996 -2.78999999999996
X42503 | -9.9190000000001 -9.9190000000001
X25336 | -21.3520000000001 -21.3520000000001
X31685 | -7.88200000000006 -7.88200000000006
X29245 | -20.1310000000001 -20.1310000000001
X39974 | -14.0260000000001 -14.0260000000001
X40344 | -14.5150000000001 -14.5150000000001
X50395 | -1.46600000000012 -1.46600000000012
X34166 | -6.37400000000002 -6.37400000000002
X20289 | -10.1130000000001 -10.1130000000001
X23235 | -3.06200000000013 -3.06200000000013
X14163 | -27.4940000000001 -27.4940000000001
X4774 | -8.33899999999994 -8.33899999999994
X45864 | -12.136 -12.136
X34647 | -4.54300000000012 -4.54300000000012
X21075 | -20.0409999999999 -20.0409999999999
X29962 | -24.1210000000001 -24.1210000000001
X22130 | -7.19499999999994 -7.19499999999994
X58244 | -6.56799999999998 -6.56799999999998
X39915 | -14.8020000000001 -14.8020000000001
X37707 | -3.221 -3.221
X28960 | -10.2080000000001 -10.2080000000001
X43713 | -2.45900000000006 -2.45900000000006
X47910 | -12.1410000000001 -12.1410000000001
X11537 | -1.31799999999998 -1.31799999999998
X18803 | -13.9400000000001 -13.9400000000001
X23866 | -20.5060000000001 -20.5060000000001
X51068 | -2.99199999999996 -2.99199999999996
X41149 | -5.70000000000005 -5.70000000000005
X57296 | -4.58300000000008 -4.58300000000008
X20240 | -4.67599999999993 -4.67599999999993
X35634 | -18.414 -18.414
X34656 | -13.9860000000001 -13.9860000000001
X38243 | -10.2170000000001 -10.2170000000001
X29548 | -15.511 -15.511
X47810 | -1.34699999999998 -1.34699999999998
