X7382 | -2.9298852423672 -2.9298852423672
X3711 | -1.6921859811992 -1.6921859811992
X774 | -2.9380110888742 -2.9380110888742
X7828 | -1.6168879279867 -1.6168879279867
X10392 | -1.58031416963789 -1.58031416963789
X4753 | -0.2294261420612 -0.2294261420612
X592 | -0.363876309944295 -0.363876309944295
X325 | -1.41558275395079 -1.41558275395079
X11220 | -0.614693314768395 -0.614693314768395
X5670 | -0.773057540645894 -0.773057540645894
X10582 | -2.233593786601 -2.233593786601
X5828 | -2.7708178893663 -2.7708178893663
X924 | -0.463497308548597 -0.463497308548597
X9352 | -2.7146188546904 -2.7146188546904
X1775 | -2.7042926643044 -2.7042926643044
X5720 | -2.8288752150256 -2.8288752150256
X764 | -2.2844168571756 -2.2844168571756
X10119 | -0.0173306136858002 -0.0173306136858002
X7582 | -2.75958430138419 -2.75958430138419
X7136 | -1.2449224269949 -1.2449224269949
X10793 | -1.4241167188157 -1.4241167188157
X8551 | -0.0997601395938972 -0.0997601395938972
X3652 | -2.684069988085 -2.684069988085
X3997 | -2.005370013183 -2.005370013183
X7663 | -1.2672132113949 -1.2672132113949
X8056 | -2.50569882150739 -2.50569882150739
X2473 | -0.732689431635698 -0.732689431635698
X10100 | -0.0627051838673935 -0.0627051838673935
X2470 | -0.175563395256198 -0.175563395256198
X440 | -1.2079663071782 -1.2079663071782
X4561 | -2.3150254343637 -2.3150254343637
X5029 | -2.8861559503712 -2.8861559503712
X59 | -2.5897566257045 -2.5897566257045
X4162 | -2.3460755841807 -2.3460755841807
X1891 | -0.730859226314394 -0.730859226314394
X4735 | -0.7926058263984 -0.7926058263984
X675 | -2.0620529155713 -2.0620529155713
X11204 | -0.376903937431095 -0.376903937431095
X496 | -0.975075073773098 -0.975075073773098
X4447 | -2.22338194423359 -2.22338194423359
X5548 | -2.1773875490763 -2.1773875490763
X10092 | -1.6904389187694 -1.6904389187694
X10631 | -2.53782331268309 -2.53782331268309
X6967 | -2.4720394501929 -2.4720394501929
X2619 | -0.0860179380979957 -0.0860179380979957
X1360 | -1.937891551992 -1.937891551992
X7547 | -1.5401012578514 -1.5401012578514
X319 | -2.66227149311459 -2.66227149311459
X4295 | -2.41409372119239 -2.41409372119239
X2382 | -1.2478944123723 -1.2478944123723
X8377 | -1.8095721371938 -1.8095721371938
X3823 | -0.170398716582 -0.170398716582
X7317 | -2.8994454969652 -2.8994454969652
X8228 | -0.664704694412698 -0.664704694412698
X2446 | -1.2286465542857 -1.2286465542857
X8886 | -0.0665851759258942 -0.0665851759258942
X239 | -2.78782806219539 -2.78782806219539
X6466 | -1.8613308083732 -1.8613308083732
X8496 | -1.88604584313 -1.88604584313
X2779 | -1.0197101114318 -1.0197101114318
X1472 | -1.43981016450559 -1.43981016450559
X9751 | -0.895292159635595 -0.895292159635595
X10325 | -2.21313935634679 -2.21313935634679
X8128 | -1.6542713984382 -1.6542713984382
X2060 | -2.8779321927578 -2.8779321927578
X7664 | -0.683928539743697 -0.683928539743697
X3978 | -1.7868877057918 -1.7868877057918
X4254 | -1.2297917401884 -1.2297917401884
X6239 | -1.36194499838169 -1.36194499838169
X6458 | -0.738624263321995 -0.738624263321995
X9387 | -0.166116358945196 -0.166116358945196
X2747 | -2.6258888191078 -2.6258888191078
X9731 | -0.392163146054394 -0.392163146054394
X10622 | -2.99373666755859 -2.99373666755859
X9441 | -2.0324462091085 -2.0324462091085
X7845 | -2.9940373655409 -2.9940373655409
X5658 | -1.99202428828 -1.99202428828
X9923 | -2.18398980726489 -2.18398980726489
X9679 | -1.6403861520812 -1.6403861520812
X7307 | -1.61149540822959 -1.61149540822959
X1858 | -2.6261954493821 -2.6261954493821
X8879 | -0.109990160912297 -0.109990160912297
X6656 | -1.28551024384799 -1.28551024384799
X600 | -2.6337228363846 -2.6337228363846
X5404 | -0.461604569340196 -0.461604569340196
X8868 | -0.236444029491395 -0.236444029491395
X5586 | -1.3511083172635 -1.3511083172635
X4451 | -1.9005205419381 -1.9005205419381
X11051 | -0.201484483899598 -0.201484483899598
X1625 | -1.0146072695498 -1.0146072695498
X979 | -2.5426917078439 -2.5426917078439
X2316 | -2.1821336362046 -2.1821336362046
X3903 | -0.00325672212059658 -0.00325672212059658
X3373 | -0.971071271225796 -0.971071271225796
X631 | -1.27977863559499 -1.27977863559499
X6221 | -0.0967289737891974 -0.0967289737891974
X5271 | -1.9600962570403 -1.9600962570403
X8232 | -1.92356489575469 -1.92356489575469
X9620 | -2.0550342032221 -2.0550342032221
X10141 | -0.157768999692095 -0.157768999692095
X10047 | -0.194003590615495 -0.194003590615495
X11115 | -0.104057299671695 -0.104057299671695
X8230 | -2.0030672808644 -2.0030672808644
X2301 | -0.391938840039096 -0.391938840039096
X10906 | -0.318487463984695 -0.318487463984695
X8453 | -2.82164584589189 -2.82164584589189
X10247 | -2.4880740044173 -2.4880740044173
X7229 | -0.743055172031795 -0.743055172031795
X8693 | -2.4078809944913 -2.4078809944913
X9832 | -1.0906375050545 -1.0906375050545
X4046 | -2.3306586372201 -2.3306586372201
X4767 | -2.3427672616672 -2.3427672616672
X9509 | -1.0527132495772 -1.0527132495772
X4371 | -0.274298838106894 -0.274298838106894
X7669 | -2.9771177864168 -2.9771177864168
X6403 | -0.966091580456194 -0.966091580456194
X3782 | -2.97835205309099 -2.97835205309099
X2494 | -1.8976518195123 -1.8976518195123
X9550 | -2.40215882286429 -2.40215882286429
X8882 | -2.4693512460217 -2.4693512460217
X9021 | -2.42982232477519 -2.42982232477519
X10468 | -0.115846598753699 -0.115846598753699
X3448 | -1.52411523833869 -1.52411523833869
X3449 | -0.0196082030889002 -0.0196082030889002
X7607 | -1.07038253685459 -1.07038253685459
X4224 | -0.0280831984709948 -0.0280831984709948
X9659 | -2.44087925367059 -2.44087925367059
X7400 | -2.9831288550049 -2.9831288550049
X1257 | -1.9784129289911 -1.9784129289911
X8552 | -0.1082808582578 -0.1082808582578
X817 | -2.39052252913829 -2.39052252913829
X310 | -2.060494217556 -2.060494217556
X475 | -0.897006793878994 -0.897006793878994
X8728 | -2.4780376183335 -2.4780376183335
X590 | -0.546123353065994 -0.546123353065994
X841 | -2.43397750100119 -2.43397750100119
X1047 | -2.0788696662057 -2.0788696662057
X7158 | -0.674962450051694 -0.674962450051694
X8695 | -0.261902135331198 -0.261902135331198
X9858 | -1.8971628346481 -1.8971628346481
X499 | -2.0993840508163 -2.0993840508163
X6582 | -1.3457393283025 -1.3457393283025
X6583 | -1.59269446693359 -1.59269446693359
X9400 | -2.4618421546184 -2.4618421546184
X3600 | -1.4369097179734 -1.4369097179734
X10838 | -1.3168843521271 -1.3168843521271
X2053 | -0.269148564431795 -0.269148564431795
X10125 | -0.105500226141899 -0.105500226141899
X1534 | -2.5624130009674 -2.5624130009674
X10921 | -1.5144658405334 -1.5144658405334
X3262 | -0.491108946036597 -0.491108946036597
X7944 | -1.7300993870013 -1.7300993870013
X8293 | -1.4352073380724 -1.4352073380724
X3622 | -1.2211188215297 -1.2211188215297
X10438 | -0.352129847975498 -0.352129847975498
X3427 | -0.677291971631398 -0.677291971631398
X7989 | -1.8236929136329 -1.8236929136329
X10042 | -0.1665133209899 -0.1665133209899
X1262 | -0.510999788297397 -0.510999788297397
X5957 | -1.92591221840119 -1.92591221840119
X10046 | -1.8075198254083 -1.8075198254083
X9343 | -1.48677751771179 -1.48677751771179
X8617 | -0.639299319125698 -0.639299319125698
X10888 | -0.00846438528969884 -0.00846438528969884
X2379 | -2.7231884084177 -2.7231884084177
X10305 | -0.532670598942794 -0.532670598942794
X10804 | -1.7857540841215 -1.7857540841215
X9019 | -1.8923800040502 -1.8923800040502
X9969 | -0.894063710700799 -0.894063710700799
X8195 | -2.36868464760489 -2.36868464760489
X1215 | -0.478303785435898 -0.478303785435898
X10158 | -0.0900239709298987 -0.0900239709298987
X1006 | -2.8609049061779 -2.8609049061779
X562 | -2.6646028824617 -2.6646028824617
X7767 | -1.818972975947 -1.818972975947
X3987 | -0.747490762034495 -0.747490762034495
X1194 | -2.04184934240769 -2.04184934240769
X11029 | -1.1787776746787 -1.1787776746787
X484 | -0.0590951428748951 -0.0590951428748951
X485 | -1.0622447426431 -1.0622447426431
X165 | -1.6270009155851 -1.6270009155851
X10290 | -2.6362369281706 -2.6362369281706
X2745 | -0.4421840691939 -0.4421840691939
X8368 | -0.664738147286698 -0.664738147286698
X2765 | -1.7017742078752 -1.7017742078752
X1386 | -0.3258294453845 -0.3258294453845
X1387 | -1.9394829603844 -1.9394829603844
X1676 | -0.559999306686294 -0.559999306686294
X2250 | -2.9778804816306 -2.9778804816306
X11 | -0.506353689590497 -0.506353689590497
X3356 | -2.4064178976696 -2.4064178976696
X4840 | -0.613972619175897 -0.613972619175897
X10061 | -2.59906893898739 -2.59906893898739
X3598 | -0.124917875044098 -0.124917875044098
X2056 | -0.398078044178 -0.398078044178
X9897 | -1.57286039111209 -1.57286039111209
X8851 | -1.4812288228423 -1.4812288228423
X10562 | -0.0361547162756963 -0.0361547162756963
X8249 | -2.2170115225017 -2.2170115225017
X9924 | -0.557410970097393 -0.557410970097393
X7780 | -2.2794879132416 -2.2794879132416
X8656 | -0.0553873067255992 -0.0553873067255992
X10831 | -2.39012888353319 -2.39012888353319
X5866 | -1.8856804801617 -1.8856804801617
X185 | -2.6387889501639 -2.6387889501639
X10654 | -0.128133708843997 -0.128133708843997
X6406 | -1.0972513610032 -1.0972513610032
X1948 | -0.0281629990786953 -0.0281629990786953
X4818 | -2.1288697309792 -2.1288697309792
X829 | -0.380395099986394 -0.380395099986394
X9905 | -1.6497080479749 -1.6497080479749
X10033 | -2.5999407442287 -2.5999407442287
X6908 | -0.556740385014599 -0.556740385014599
X6505 | -0.915316185448297 -0.915316185448297
X474 | -2.9907669858076 -2.9907669858076
X9610 | -2.79747864394449 -2.79747864394449
X3832 | -2.692044781521 -2.692044781521
X4712 | -0.854249121621294 -0.854249121621294
X2923 | -0.0470168071333958 -0.0470168071333958
