X152 | -0.558610141044397 -0.558610141044397
X8597 | -0.399719230597796 -0.399719230597796
X2632 | -1.9663098861929 -1.9663098861929
X4047 | -2.7552112704143 -2.7552112704143
X3505 | -2.1765345290768 -2.1765345290768
X460 | -1.1479403574485 -1.1479403574485
X9191 | -2.9189858660101 -2.9189858660101
X884 | -0.315504301339296 -0.315504301339296
X9050 | -2.6126030876766 -2.6126030876766
X7027 | -2.6286798419896 -2.6286798419896
X10579 | -0.352820757078 -0.352820757078
X8067 | -2.2495160198304 -2.2495160198304
X2922 | -0.00919305067510123 -0.00919305067510123
X4298 | -0.483172781998199 -0.483172781998199
X3841 | -0.1104309456423 -0.1104309456423
X7543 | -2.1238738687243 -2.1238738687243
X2061 | -0.0785000757313981 -0.0785000757313981
X2624 | -1.2697721868753 -1.2697721868753
X7425 | -0.878405163064599 -0.878405163064599
X653 | -0.667440189979899 -0.667440189979899
X5665 | -2.268390397774 -2.268390397774
X2212 | -2.1720802676864 -2.1720802676864
X5801 | -0.158033962827098 -0.158033962827098
X5800 | -2.2600336032919 -2.2600336032919
X2308 | -0.369990943232501 -0.369990943232501
X7388 | -0.196988533716599 -0.196988533716599
X3559 | -1.2026378063019 -1.2026378063019
X3558 | -1.5652633896097 -1.5652633896097
X9023 | -2.6080216846894 -2.6080216846894
X3992 | -2.7145431947428 -2.7145431947428
X8810 | -0.746969208586897 -0.746969208586897
X3855 | -2.4350004941225 -2.4350004941225
X1843 | -1.3812224990688 -1.3812224990688
X8778 | -0.198169414652497 -0.198169414652497
X3387 | -1.7590917698107 -1.7590917698107
X3386 | -2.5136839309707 -2.5136839309707
X322 | -2.8879737993702 -2.8879737993702
X10407 | -0.515871946234199 -0.515871946234199
X2083 | -2.0050967386923 -2.0050967386923
X4145 | -2.9251748481765 -2.9251748481765
X4611 | -0.833649159176197 -0.833649159176197
X2348 | -1.2373309142422 -1.2373309142422
X6978 | -0.721049477811896 -0.721049477811896
X7601 | -2.7520775401499 -2.7520775401499
X9722 | -1.1303405568469 -1.1303405568469
X3055 | -2.0269784037955 -2.0269784037955
X5011 | -0.451587288407602 -0.451587288407602
X1564 | -2.7140649491921 -2.7140649491921
X8417 | -0.264916755259001 -0.264916755259001
X10316 | -1.3615969705861 -1.3615969705861
X1888 | -1.6986862504854 -1.6986862504854
X3725 | -1.2977218707092 -1.2977218707092
X1964 | -1.746732417494 -1.746732417494
X3687 | -2.0784293815959 -2.0784293815959
X8019 | -0.464751703664597 -0.464751703664597
X7629 | -1.018265373772 -1.018265373772
X7602 | -2.862888643518 -2.862888643518
X8528 | -2.3926133480854 -2.3926133480854
X10724 | -0.2270389138721 -0.2270389138721
X2466 | -0.237868809141197 -0.237868809141197
X9311 | -2.9730444301385 -2.9730444301385
X7980 | -1.4937660321593 -1.4937660321593
X5733 | -0.156746790977202 -0.156746790977202
X100 | -1.8755694581195 -1.8755694581195
X3589 | -2.8932923292741 -2.8932923292741
X9816 | -1.7861931002698 -1.7861931002698
X8593 | -1.1970403406303 -1.1970403406303
X859 | -2.1517235892824 -2.1517235892824
X2746 | -2.6773516621906 -2.6773516621906
X9805 | -2.555996132316 -2.555996132316
X4305 | -2.0182678042911 -2.0182678042911
X243 | -2.4922969322651 -2.4922969322651
X9277 | -0.424171074991996 -0.424171074991996
X9334 | -0.0143043065909012 -0.0143043065909012
X8564 | -0.4737284907605 -0.4737284907605
X372 | -0.431049699894999 -0.431049699894999
X9821 | -2.3123458942864 -2.3123458942864
X271 | -0.586762538412501 -0.586762538412501
X10434 | -0.526825320906902 -0.526825320906902
X4363 | -0.920229147886801 -0.920229147886801
X730 | -2.3628621585667 -2.3628621585667
X3189 | -0.498669373104299 -0.498669373104299
X4432 | -2.9261046058964 -2.9261046058964
X3468 | -1.0108442315831 -1.0108442315831
