X1180 | -2.6139777826611 -2.6139777826611
X9953 | -0.7578481575474 -0.7578481575474
X9305 | -0.363840329228005 -0.363840329228005
X9910 | 0 0
X7072 | -0.475081593263901 -0.475081593263901
X3131 | -0.0544839918148057 -0.0544839918148057
X8443 | -1.1892369480338 -1.1892369480338
X3630 | -0.694430068368106 -0.694430068368106
X294 | -2.977052887436 -2.977052887436
X2089 | -2.8468377613462 -2.8468377613462
X6277 | -2.1985965587664 -2.1985965587664
X10287 | -2.1241943626665 -2.1241943626665
X9322 | -1.4144083145074 -1.4144083145074
X1508 | -1.39220577827651 -1.39220577827651
X9485 | -1.6834872043692 -1.6834872043692
X6990 | -0.108872887445607 -0.108872887445607
X5859 | -2.7237604265101 -2.7237604265101
X5090 | -1.58832363411781 -1.58832363411781
X9034 | -1.8984202507418 -1.8984202507418
X1468 | -1.7385685918853 -1.7385685918853
X10000 | -1.739846781129 -1.739846781129
X5415 | -2.0913839412387 -2.0913839412387
X1543 | -2.980485603679 -2.980485603679
X6455 | -2.4683894771151 -2.4683894771151
X1115 | -1.6607581058051 -1.6607581058051
X3593 | -1.23251273785721 -1.23251273785721
X1626 | -2.107189332135 -2.107189332135
X1733 | -2.98456199769861 -2.98456199769861
X2791 | -2.1324755963869 -2.1324755963869
X2764 | -0.0192661934998029 -0.0192661934998029
X6226 | -1.4293913561851 -1.4293913561851
X3908 | -0.0909033701755035 -0.0909033701755035
X4649 | -2.4832715692464 -2.4832715692464
X6765 | -2.9775757750031 -2.9775757750031
X6927 | -0.993240410462001 -0.993240410462001
X1615 | -0.692615537205704 -0.692615537205704
X3876 | -1.8154911689926 -1.8154911689926
X689 | -2.57241358794271 -2.57241358794271
X525 | -2.3875514741521 -2.3875514741521
X9316 | -1.9556761190761 -1.9556761190761
X6590 | -0.627404635772102 -0.627404635772102
X812 | -1.4876216794364 -1.4876216794364
X4357 | -0.428163636708604 -0.428163636708604
X2721 | -0.0635685729794062 -0.0635685729794062
X2665 | -2.0181392699014 -2.0181392699014
X9911 | -0.463184292661005 -0.463184292661005
X8899 | -2.62342725321651 -2.62342725321651
X1248 | -1.0466877990402 -1.0466877990402
X9505 | -2.12228980008511 -2.12228980008511
X5570 | -2.9950108705088 -2.9950108705088
X3713 | -1.30534885777161 -1.30534885777161
