X771 | -1.257781824097 -1.257781824097
X9398 | -1.1985803379211 -1.1985803379211
X8632 | -2.1023970565293 -2.1023970565293
X3901 | -2.890087285079 -2.890087285079
X2537 | -1.6884277279023 -1.6884277279023
X5706 | -0.878973201149996 -0.878973201149996
X4399 | -2.6111419997178 -2.6111419997178
X5458 | -0.363184965681299 -0.363184965681299
X1713 | -1.591980143683 -1.591980143683
X7272 | -1.5458892260212 -1.5458892260212
X2978 | -2.3304415948223 -2.3304415948223
X2979 | -1.2745473361574 -1.2745473361574
X1279 | -0.116174705559402 -0.116174705559402
X9227 | -2.9001989364624 -2.9001989364624
X6225 | -1.283022812102 -1.283022812102
X6224 | -2.185540592065 -2.185540592065
X5344 | -2.2418915312737 -2.2418915312737
X9427 | -2.3070789731573 -2.3070789731573
X1970 | -2.7116387332789 -2.7116387332789
X8819 | -1.6728504442144 -1.6728504442144
X1917 | -0.640860917279497 -0.640860917279497
X8675 | -0.407657829578902 -0.407657829578902
X7664 | -0.176838060608098 -0.176838060608098
X3880 | -2.8798131442163 -2.8798131442163
X2607 | -2.3919897833839 -2.3919897833839
X916 | -2.9166483976878 -2.9166483976878
X9630 | -0.662798082456 -0.662798082456
X1288 | -0.5636519200634 -0.5636519200634
X2350 | -0.314808508381198 -0.314808508381198
X10000 | -1.9685776967089 -1.9685776967089
X9383 | -2.3789952707011 -2.3789952707011
X9574 | -1.7522225305438 -1.7522225305438
X7725 | -0.386485811322899 -0.386485811322899
X4794 | -1.8502662980463 -1.8502662980463
X1807 | -1.0764467746485 -1.0764467746485
X8436 | -2.0686458272393 -2.0686458272393
X217 | -1.6903054132126 -1.6903054132126
X4074 | -1.589080143487 -1.589080143487
X9072 | -0.269166253739897 -0.269166253739897
X1628 | -2.7980815353803 -2.7980815353803
X4408 | -2.0167021933011 -2.0167021933011
X4409 | -0.173012322513401 -0.173012322513401
X9616 | -0.380797511665101 -0.380797511665101
X4565 | -0.221689716679897 -0.221689716679897
X8177 | -0.113836642121903 -0.113836642121903
X9252 | -0.249931062106 -0.249931062106
X9199 | -1.9651418798603 -1.9651418798603
X8503 | -2.0552990825381 -2.0552990825381
X3643 | -0.691379384603302 -0.691379384603302
X4328 | -0.769693740410702 -0.769693740410702
X4556 | -1.7346041018609 -1.7346041018609
X8253 | -2.9884655575733 -2.9884655575733
X2810 | -1.9710491260048 -1.9710491260048
X9627 | -1.7195963098202 -1.7195963098202
X3590 | -0.144107284024301 -0.144107284024301
X8626 | -2.7844657679088 -2.7844657679088
X1023 | -0.503881871933103 -0.503881871933103
X4820 | -2.9265019046142 -2.9265019046142
X285 | -2.7419269911479 -2.7419269911479
X284 | -0.944670996861497 -0.944670996861497
X9248 | -1.2867797801736 -1.2867797801736
