X3971 | -0.168761911802001 -0.168761911802001
X3659 | -1.8338888045401 -1.8338888045401
X1880 | -2.571917597903 -2.571917597903
X3007 | -0.988301172154003 -0.988301172154003
X10598 | -1.0179663640447 -1.0179663640447
X9901 | 0 0
X10626 | -1.0595026121009 -1.0595026121009
X6079 | -1.8806695919484 -1.8806695919484
X1747 | -0.172236904269106 -0.172236904269106
X3810 | -2.835709103616 -2.835709103616
X10475 | -1.0831755946856 -1.0831755946856
X1668 | -2.4345736310352 -2.4345736310352
X10123 | -1.3639758469071 -1.3639758469071
X10659 | -2.5623611519113 -2.5623611519113
X5492 | -0.265257470542601 -0.265257470542601
X6770 | -2.37174104223961 -2.37174104223961
X8088 | -1.8469555559568 -1.8469555559568
X7822 | -0.265932106878601 -0.265932106878601
X7654 | -2.1040876675397 -2.1040876675397
X5031 | -0.341945172753199 -0.341945172753199
X6539 | -2.5356170777232 -2.5356170777232
X7794 | -2.2841008971445 -2.2841008971445
X2722 | -1.0158573060762 -1.0158573060762
X10574 | -0.930994960013805 -0.930994960013805
X1573 | -2.5666137984954 -2.5666137984954
X5263 | -1.1208511374425 -1.1208511374425
X3231 | -1.36728160106581 -1.36728160106581
X4728 | -2.1694901967421 -2.1694901967421
X4729 | -2.6186194201 -2.6186194201
X1025 | -1.6431030356325 -1.6431030356325
X3387 | -2.921838094946 -2.921838094946
X9456 | -1.66963808471341 -1.66963808471341
X5128 | -0.0956407135818012 -0.0956407135818012
X7902 | -0.243628828553504 -0.243628828553504
X2636 | -2.4215420801193 -2.4215420801193
X6649 | -0.336073553888099 -0.336073553888099
X6411 | -2.5962958834134 -2.5962958834134
X10793 | -0.145256540039604 -0.145256540039604
X5057 | -2.0290117480327 -2.0290117480327
X2475 | -0.344065127195805 -0.344065127195805
X9001 | -2.5992358471267 -2.5992358471267
X6876 | -2.9482898488641 -2.9482898488641
X8574 | -2.7998818131164 -2.7998818131164
X7073 | -2.7673016551417 -2.7673016551417
X8757 | -1.9209548269864 -1.9209548269864
X10918 | -0.181700583547403 -0.181700583547403
X9714 | -2.1146251126193 -2.1146251126193
X2471 | -2.5045751337894 -2.5045751337894
X9671 | -1.1738637231756 -1.1738637231756
X2476 | -2.6270154684317 -2.6270154684317
X3808 | -1.4766875950154 -1.4766875950154
X1932 | -0.224122938467204 -0.224122938467204
X10387 | -1.36289798934011 -1.36289798934011
X2066 | -0.493956981925301 -0.493956981925301
X10520 | -0.673326690215603 -0.673326690215603
X10438 | -1.5414065080695 -1.5414065080695
X10777 | -0.625110556371503 -0.625110556371503
X2074 | -2.9635722034145 -2.9635722034145
X9876 | -2.9453329110984 -2.9453329110984
X147 | -1.9540680327919 -1.9540680327919
X146 | -0.0520279894117053 -0.0520279894117053
X3337 | -0.840371907921501 -0.840371907921501
X3143 | -0.882827114313905 -0.882827114313905
X2946 | -0.884104199940403 -0.884104199940403
X4634 | -1.4126087178011 -1.4126087178011
X1229 | -1.2228106542025 -1.2228106542025
X6585 | -1.0770259941928 -1.0770259941928
X4796 | -1.3319162253756 -1.3319162253756
X10522 | -0.134175797458802 -0.134175797458802
X8228 | -1.1345389857888 -1.1345389857888
X2791 | -2.9984019147232 -2.9984019147232
X5386 | -1.5656663600821 -1.5656663600821
X8458 | -1.11577580287121 -1.11577580287121
X4678 | -1.7450655300636 -1.7450655300636
X1054 | -0.106939482735505 -0.106939482735505
X10421 | -2.2166196831968 -2.2166196831968
X10354 | -2.4590855443385 -2.4590855443385
X8602 | -0.397829299327 -0.397829299327
X7455 | -0.6805737870746 -0.6805737870746
X2824 | -1.3193108369597 -1.3193108369597
X9225 | -0.242114220047405 -0.242114220047405
X2825 | -0.869514855556204 -0.869514855556204
X3789 | -2.89399079047151 -2.89399079047151
X5347 | -0.661159426672405 -0.661159426672405
X8322 | -2.8073850057554 -2.8073850057554
X6970 | -0.481249146396301 -0.481249146396301
X1902 | -2.8159175345209 -2.8159175345209
X3349 | -2.9954689505976 -2.9954689505976
X5581 | -0.0884096233640008 -0.0884096233640008
X5580 | -1.6626280099154 -1.6626280099154
X1058 | -0.3389760421124 -0.3389760421124
X9800 | -0.782610545866206 -0.782610545866206
X9942 | -1.628746278584 -1.628746278584
X10013 | -1.0573077506852 -1.0573077506852
X10194 | -2.797960416181 -2.797960416181
X2973 | -0.645257004070999 -0.645257004070999
X432 | -1.1857099486515 -1.1857099486515
X2671 | -0.125404468970402 -0.125404468970402
X9112 | -1.396110402653 -1.396110402653
X10791 | -1.6775235501118 -1.6775235501118
X9664 | -0.160944424336805 -0.160944424336805
X946 | -0.0190530340187038 -0.0190530340187038
X8984 | -0.196739237057102 -0.196739237057102
X9231 | -2.6856709888671 -2.6856709888671
X3086 | -0.230910278856804 -0.230910278856804
