X6778 | -2.7441932524089 -2.7441932524089
X9944 | -0.6052376597654 -0.6052376597654
X12138 | -0.810714259045199 -0.810714259045199
X4086 | -2.3238770796452 -2.3238770796452
X185 | -2.1672786329873 -2.1672786329873
X341 | -0.859160235151698 -0.859160235151698
X11561 | -0.951325075468098 -0.951325075468098
X11018 | -2.3478947666008 -2.3478947666008
X151 | -1.4174966420979 -1.4174966420979
X1445 | -2.4184329346754 -2.4184329346754
X11044 | -0.5058481881861 -0.5058481881861
X245 | -0.214996722992502 -0.214996722992502
X912 | -2.837521069916 -2.837521069916
X4452 | -0.933877571253099 -0.933877571253099
X4453 | -0.0527359389234974 -0.0527359389234974
X1672 | -1.2609567884356 -1.2609567884356
X2485 | -2.6696121823043 -2.6696121823043
X1157 | -1.2824446200393 -1.2824446200393
X11384 | -1.9422131271567 -1.9422131271567
X10700 | -0.549514464335502 -0.549514464335502
X10252 | -1.423893742729 -1.423893742729
X2065 | -2.9674967648462 -2.9674967648462
X8333 | -1.6247540374752 -1.6247540374752
X3036 | -2.8078958981205 -2.8078958981205
X159 | -0.418126390781296 -0.418126390781296
X10074 | -1.1920900053811 -1.1920900053811
X8690 | -1.5247340868227 -1.5247340868227
X11144 | -0.273103309795296 -0.273103309795296
X8252 | -2.2445424185135 -2.2445424185135
X9495 | -2.1907162279822 -2.1907162279822
X3687 | -0.307349498849398 -0.307349498849398
X8467 | -0.533135765232203 -0.533135765232203
X11102 | -2.8178157743532 -2.8178157743532
X10173 | -2.4352107953746 -2.4352107953746
X6735 | -2.8672865512781 -2.8672865512781
X12170 | -0.300033953972196 -0.300033953972196
X3303 | -1.9416083337274 -1.9416083337274
X4782 | -2.6119661252015 -2.6119661252015
X2807 | -2.2245619765017 -2.2245619765017
X3733 | -2.955416318262 -2.955416318262
X2923 | -2.9623339294922 -2.9623339294922
X6037 | -2.9853509184905 -2.9853509184905
X8650 | -2.7558437359985 -2.7558437359985
X4166 | -0.145014851354098 -0.145014851354098
X6929 | -1.2651206329465 -1.2651206329465
X10418 | -0.350928620668199 -0.350928620668199
X7642 | -1.3914340138436 -1.3914340138436
X213 | -0.764347492251602 -0.764347492251602
X4731 | -0.039929639780901 -0.039929639780901
X10841 | -2.441891763825 -2.441891763825
X2073 | -0.868360003922199 -0.868360003922199
X529 | -0.331378554459697 -0.331378554459697
X528 | -2.8765897855629 -2.8765897855629
X559 | -1.3662757412531 -1.3662757412531
X10859 | -2.3683192664758 -2.3683192664758
X1198 | -0.589005009038402 -0.589005009038402
X11233 | -0.0364594403654976 -0.0364594403654976
X11429 | -0.1556187740062 -0.1556187740062
X11953 | -0.613134990446298 -0.613134990446298
X5145 | -1.2300481146667 -1.2300481146667
X5545 | -2.8047126287129 -2.8047126287129
X8625 | -0.302881602896399 -0.302881602896399
X6475 | -1.6062460192479 -1.6062460192479
X9123 | -1.8132104168181 -1.8132104168181
X10868 | -1.5617456173059 -1.5617456173059
X9618 | -1.6412392719649 -1.6412392719649
X5995 | -0.183823968283896 -0.183823968283896
X10677 | -1.7928128647618 -1.7928128647618
X12105 | -0.0655732888263003 -0.0655732888263003
X6445 | -0.774800712475603 -0.774800712475603
X10189 | -1.337362825172 -1.337362825172
X10550 | -1.0723701396492 -1.0723701396492
X10792 | -0.552042233990498 -0.552042233990498
X5666 | -2.8251067036763 -2.8251067036763
X6018 | -2.6977503143717 -2.6977503143717
X2996 | -0.579072325956098 -0.579072325956098
X3943 | -0.394639577949398 -0.394639577949398
X10180 | -1.8693367035594 -1.8693367035594
X1695 | -2.8949223405216 -2.8949223405216
X5292 | -2.8694158536382 -2.8694158536382
X2937 | -1.2016042261385 -1.2016042261385
X2769 | -0.8485659956932 -0.8485659956932
X7370 | -2.9937321706675 -2.9937321706675
X7564 | -2.8242763658054 -2.8242763658054
X9053 | -0.0126255524810972 -0.0126255524810972
X1874 | -0.469672116218199 -0.469672116218199
X12280 | -0.5062770161312 -0.5062770161312
X1875 | -2.7384295917582 -2.7384295917582
X10431 | -0.465420973487198 -0.465420973487198
X4220 | -1.2622616419103 -1.2622616419103
X4603 | -2.1903665133287 -2.1903665133287
X4602 | -2.9079377423041 -2.9079377423041
X8406 | -2.6563850403764 -2.6563850403764
X11095 | -0.674017275916398 -0.674017275916398
X1477 | -2.5557893277146 -2.5557893277146
X10535 | -2.8473825766705 -2.8473825766705
X8292 | -0.506521154427901 -0.506521154427901
X11572 | -0.512372396886398 -0.512372396886398
X8702 | -2.2594215190038 -2.2594215190038
X6624 | -2.4544124433305 -2.4544124433305
X7359 | -2.479275791673 -2.479275791673
X7358 | -1.2484647387173 -1.2484647387173
X6612 | -2.5189162557945 -2.5189162557945
X6338 | -1.7128883006517 -1.7128883006517
X4071 | -2.6036411093083 -2.6036411093083
X871 | -2.669761318015 -2.669761318015
X3333 | -1.5082337760832 -1.5082337760832
X9546 | -0.391118354396902 -0.391118354396902
X5767 | -2.9225230661687 -2.9225230661687
X5766 | -2.6404268061742 -2.6404268061742
X7657 | -0.451860358938596 -0.451860358938596
X7656 | -2.4435758830514 -2.4435758830514
X3447 | -2.8735861591995 -2.8735861591995
X6707 | -2.5939631690271 -2.5939631690271
X11530 | -0.701637150021298 -0.701637150021298
X11527 | -0.000598031328998161 -0.000598031328998161
X11161 | -1.8313771337271 -1.8313771337271
X4465 | -2.1757259143051 -2.1757259143051
X526 | -1.0023066890426 -1.0023066890426
X2198 | -0.945917649194598 -0.945917649194598
X10001 | -0.00896644941529701 -0.00896644941529701
X3192 | -0.461704566842002 -0.461704566842002
X1638 | -0.985540110385102 -0.985540110385102
X3792 | -1.3395343737211 -1.3395343737211
X3502 | -0.594353887718199 -0.594353887718199
X2648 | -1.7369349310175 -1.7369349310175
X2800 | -2.2677782576066 -2.2677782576066
X1 | -1.2390456162393 -1.2390456162393
X7321 | -1.3360118453857 -1.3360118453857
X8661 | -1.763596133329 -1.763596133329
X12003 | -0.129025324014997 -0.129025324014997
X5516 | -1.3533392746467 -1.3533392746467
X11087 | -1.8142154139933 -1.8142154139933
X3140 | -1.7441263440997 -1.7441263440997
X1424 | -2.4624461685308 -2.4624461685308
X9579 | -1.7412972617895 -1.7412972617895
X8769 | -1.5232765988913 -1.5232765988913
X5111 | -1.3559002946131 -1.3559002946131
X7685 | -2.6974748906214 -2.6974748906214
X28 | -1.5724551673048 -1.5724551673048
X10081 | -2.1587938789744 -2.1587938789744
X233 | -1.6732523620595 -1.6732523620595
X1819 | -0.1823999381159 -0.1823999381159
X208 | -2.5399473267608 -2.5399473267608
X4671 | -0.708757375599802 -0.708757375599802
X8440 | -1.9388314916287 -1.9388314916287
X11274 | -0.255187207600102 -0.255187207600102
X9532 | -2.579356942093 -2.579356942093
X3818 | -1.5851037134417 -1.5851037134417
X9857 | -1.472790020518 -1.472790020518
X4223 | -2.5423948250246 -2.5423948250246
X2566 | -0.1556588311214 -0.1556588311214
X7023 | -2.080519345589 -2.080519345589
X3558 | -1.0917095483747 -1.0917095483747
X7022 | -1.8854455074761 -1.8854455074761
X8727 | -0.119946828810498 -0.119946828810498
X669 | -0.885522577911601 -0.885522577911601
X7627 | -2.1557284647133 -2.1557284647133
X7626 | -0.150617710780402 -0.150617710780402
X12036 | -0.279449886409601 -0.279449886409601
X3079 | -1.6992835756392 -1.6992835756392
X8251 | -2.3541000899859 -2.3541000899859
X1207 | -2.9663292530459 -2.9663292530459
X5685 | -0.2374150918331 -0.2374150918331
X9804 | -2.9417532677762 -2.9417532677762
X7468 | -0.701274205232096 -0.701274205232096
X8594 | -2.6422737606336 -2.6422737606336
X9447 | -1.195634476142 -1.195634476142
X4973 | -2.3029034142383 -2.3029034142383
X9751 | -1.4296022204217 -1.4296022204217
X6035 | -2.9960829655174 -2.9960829655174
X2399 | -0.151389570208302 -0.151389570208302
X5240 | -1.9675516260322 -1.9675516260322
X5241 | -0.0353923311922983 -0.0353923311922983
X9701 | -0.405719858827098 -0.405719858827098
X11272 | -1.4576224009507 -1.4576224009507
X11115 | -0.874658301472699 -0.874658301472699
X73 | -1.6414699670859 -1.6414699670859
X10464 | -0.984087277902297 -0.984087277902297
X10496 | -2.8407969265245 -2.8407969265245
X11696 | -0.736969015561101 -0.736969015561101
X4488 | -2.8104790162761 -2.8104790162761
X9802 | -2.5435607309919 -2.5435607309919
X1697 | -0.729633730603396 -0.729633730603396
X1696 | -2.6388954939321 -2.6388954939321
X5877 | -1.6113821240142 -1.6113821240142
X5876 | -1.1760577009991 -1.1760577009991
