X1244 | -0.0558445835486054 -0.0558445835486054
X5342 | -1.2045898181386 -1.2045898181386
X10820 | -0.323694122023902 -0.323694122023902
X11238 | -0.0697543986607059 -0.0697543986607059
X10968 | -0.110320035600999 -0.110320035600999
X10515 | -0.849529334111203 -0.849529334111203
X11736 | -1.0436462655198 -1.0436462655198
X11709 | -1.35056255408561 -1.35056255408561
X7698 | -1.3536591832526 -1.3536591832526
X7699 | -1.4305280623958 -1.4305280623958
X11120 | -1.8043918611948 -1.8043918611948
X4976 | -2.2117394213565 -2.2117394213565
X200 | -2.2709232342895 -2.2709232342895
X1852 | -1.7071947937366 -1.7071947937366
X11986 | -1.5666095092893 -1.5666095092893
X8854 | -0.6922449013218 -0.6922449013218
X518 | -1.2324569060002 -1.2324569060002
X9795 | -2.9950495376252 -2.9950495376252
X11687 | -1.1917918142863 -1.1917918142863
X4177 | -1.5506116552279 -1.5506116552279
X1397 | -2.2373929393944 -2.2373929393944
X3305 | -2.0235292597208 -2.0235292597208
X10535 | -2.88361510355031 -2.88361510355031
X3094 | -0.9699379380327 -0.9699379380327
X2811 | -1.0807715607807 -1.0807715607807
X11181 | -1.9245484925341 -1.9245484925341
X9700 | -0.646819464862403 -0.646819464862403
X10203 | -1.99144180049191 -1.99144180049191
X4486 | -0.848604595055804 -0.848604595055804
X11039 | -0.348697062581799 -0.348697062581799
X10949 | -2.4330238171388 -2.4330238171388
X10044 | -2.82718071690761 -2.82718071690761
X1950 | -2.22561940387821 -2.22561940387821
X9102 | -0.150991613511003 -0.150991613511003
X1951 | -1.6521206873004 -1.6521206873004
X2426 | -0.336184869054705 -0.336184869054705
X12202 | -0.103996314341202 -0.103996314341202
X7284 | -1.1005785833113 -1.1005785833113
X11666 | -0.611532916082105 -0.611532916082105
X4552 | -2.8436982859858 -2.8436982859858
X10877 | -1.6660999869928 -1.6660999869928
X10686 | -2.8848121874035 -2.8848121874035
X11124 | -1.7569349384867 -1.7569349384867
X6291 | -1.3217225151602 -1.3217225151602
X10315 | -2.9182972479612 -2.9182972479612
X12460 | -0.0631274823100014 -0.0631274823100014
X7544 | -2.6079989089631 -2.6079989089631
X11441 | -2.6951276594773 -2.6951276594773
X8256 | -2.1316326626111 -2.1316326626111
X7563 | -1.0144465877675 -1.0144465877675
X1060 | -0.0703616423998028 -0.0703616423998028
X7914 | -0.0980864949525042 -0.0980864949525042
X3588 | -2.4449060903862 -2.4449060903862
X6603 | -0.126958092441804 -0.126958092441804
X11026 | -2.9564253764693 -2.9564253764693
X11929 | -1.2187268205453 -1.2187268205453
X11183 | -2.45618899818511 -2.45618899818511
X10521 | -0.235546417068704 -0.235546417068704
X635 | -0.0566874935757014 -0.0566874935757014
X4 | -0.8342738889624 -0.8342738889624
X4938 | -2.6121842956636 -2.6121842956636
X8268 | -1.74283347604801 -1.74283347604801
X10224 | -0.323815363459303 -0.323815363459303
X9381 | -2.9965296105947 -2.9965296105947
X10598 | -2.3935156858061 -2.3935156858061
X1134 | -2.3752718714532 -2.3752718714532
X3647 | -0.2736042004544 -0.2736042004544
X2845 | -2.626780627761 -2.626780627761
X7638 | -2.178372634342 -2.178372634342
X9208 | -0.354297980200499 -0.354297980200499
X796 | -0.662922780728003 -0.662922780728003
X4936 | -1.60854169190861 -1.60854169190861
X11105 | -1.8527943519876 -1.8527943519876
X706 | -2.291669661412 -2.291669661412
X5255 | -2.9326320667751 -2.9326320667751
X5254 | -2.2767697591335 -2.2767697591335
X11562 | -2.3151410012506 -2.3151410012506
X9756 | -0.804751318646602 -0.804751318646602
X6392 | -2.5850181409624 -2.5850181409624
X922 | -2.9019732030574 -2.9019732030574
X10359 | -0.0444663099479001 -0.0444663099479001
X11536 | -1.037001907127 -1.037001907127
X10108 | -1.38200309523381 -1.38200309523381
X2979 | -1.4100690674968 -1.4100690674968
X11431 | -0.340855220099904 -0.340855220099904
