X3200 | -2.368603131501 -2.368603131501
X3972 | -0.655731408158296 -0.655731408158296
X10146 | -1.601262799697 -1.601262799697
X4934 | -0.4433072924149 -0.4433072924149
X8365 | -0.211824473692097 -0.211824473692097
X4322 | -0.681763429194696 -0.681763429194696
X3848 | -2.5422694038134 -2.5422694038134
X3849 | -0.8000206905417 -0.8000206905417
X5401 | -0.169870248762898 -0.169870248762898
X6020 | -0.184296325547699 -0.184296325547699
X9781 | -2.895899361698 -2.895899361698
X4214 | -2.657721365802 -2.657721365802
X4215 | -2.929364920361 -2.929364920361
X5266 | -1.0254055853002 -1.0254055853002
X11160 | -2.0649474235252 -2.0649474235252
X9204 | -0.3602487375029 -0.3602487375029
X9732 | -1.2449592885096 -1.2449592885096
X10034 | -1.4168594910298 -1.4168594910298
X3058 | -1.4827176479157 -1.4827176479157
X11193 | -0.543542386963999 -0.543542386963999
X8869 | -1.4322069457267 -1.4322069457267
X1395 | -2.2262282778975 -2.2262282778975
X8520 | -1.45359201869 -1.45359201869
X2312 | -2.0795301615727 -2.0795301615727
X7850 | -1.17194253369239 -1.17194253369239
X11234 | -0.544632029486898 -0.544632029486898
X8714 | -0.154100661864497 -0.154100661864497
X8836 | -2.8479502005503 -2.8479502005503
X5890 | -2.3898828516249 -2.3898828516249
X5891 | -0.323297745315401 -0.323297745315401
X4733 | -0.175875385059101 -0.175875385059101
X10430 | -0.840511212358294 -0.840511212358294
X5778 | -0.370957207633197 -0.370957207633197
X336 | -0.533142094267596 -0.533142094267596
X337 | -2.9311791756191 -2.9311791756191
X4452 | -0.405829694587794 -0.405829694587794
X4453 | -2.285421011271 -2.285421011271
X8823 | -0.257310227723799 -0.257310227723799
X11418 | -0.221640831325196 -0.221640831325196
X9788 | -0.7293347397354 -0.7293347397354
X9674 | -2.4000014746562 -2.4000014746562
X7855 | -2.9275428440888 -2.9275428440888
X1452 | -2.1945079669822 -2.1945079669822
X3825 | -0.916349147446496 -0.916349147446496
X4004 | -0.0133038042113967 -0.0133038042113967
X11865 | -1.6113055588212 -1.6113055588212
X3510 | -2.9824660364539 -2.9824660364539
X8478 | -1.906593385851 -1.906593385851
X6597 | -2.8345843912103 -2.8345843912103
X8481 | -0.532084195408999 -0.532084195408999
X6331 | -2.8293746877462 -2.8293746877462
X6051 | -2.9319145262707 -2.9319145262707
X9826 | -2.9608527179808 -2.9608527179808
X11648 | -0.468997347867095 -0.468997347867095
X8837 | -1.8594783288427 -1.8594783288427
X10973 | -1.67306487075989 -1.67306487075989
X7105 | -0.0348542402498992 -0.0348542402498992
X10981 | -0.9369784255978 -0.9369784255978
X10272 | -2.7563641397283 -2.7563641397283
X9294 | -1.9345481470228 -1.9345481470228
X7454 | -2.923321642913 -2.923321642913
X4723 | -1.4141083031427 -1.4141083031427
X6726 | -2.7863243920729 -2.7863243920729
X9172 | -2.411895099096 -2.411895099096
X873 | -2.4656532900408 -2.4656532900408
X282 | -2.9922718252056 -2.9922718252056
X11123 | -0.149587636347896 -0.149587636347896
X7567 | -1.144613516517 -1.144613516517
X4762 | -0.445873494492901 -0.445873494492901
X5832 | -1.52451218641369 -1.52451218641369
X3725 | -2.6075284767431 -2.6075284767431
X3806 | -2.1825568685308 -2.1825568685308
X3807 | -1.8968020055909 -1.8968020055909
X9624 | -2.7083058154676 -2.7083058154676
X11186 | -0.2896856507287 -0.2896856507287
X495 | -1.899931694381 -1.899931694381
X10181 | -2.005676627392 -2.005676627392
X9505 | -1.8288019078318 -1.8288019078318
X5917 | -1.1879622868728 -1.1879622868728
X5916 | -1.1393943456933 -1.1393943456933
X7087 | -1.3348562372849 -1.3348562372849
X1865 | -2.1927157742903 -2.1927157742903
X3949 | -1.43808474135589 -1.43808474135589
X7682 | -1.3150987336412 -1.3150987336412
X10560 | -2.8341450670269 -2.8341450670269
X2077 | -2.7697377281729 -2.7697377281729
X1761 | -0.0162733134347945 -0.0162733134347945
X10555 | -2.0775918150321 -2.0775918150321
X8500 | -1.8969985954464 -1.8969985954464
X7197 | -2.261295583332 -2.261295583332
X7778 | -1.2780493679457 -1.2780493679457
X6124 | -1.0805540797301 -1.0805540797301
X9119 | -2.59121776465329 -2.59121776465329
X5750 | -2.6187411993742 -2.6187411993742
X7283 | -1.6547651218716 -1.6547651218716
X7282 | -1.19888389832339 -1.19888389832339
X11311 | -0.482844740850901 -0.482844740850901
X4432 | -0.877893175464195 -0.877893175464195
X10905 | -0.0544994920491959 -0.0544994920491959
X10264 | -0.812863490078598 -0.812863490078598
X10850 | -2.5651621143334 -2.5651621143334
X7578 | -0.416984134353697 -0.416984134353697
X6651 | -0.818749620812 -0.818749620812
X11753 | -0.346037889132297 -0.346037889132297
X10414 | -0.104617957491499 -0.104617957491499
X11003 | -1.8462399342098 -1.8462399342098
X1903 | -0.123489012010396 -0.123489012010396
X10680 | -0.383333079982599 -0.383333079982599
X8625 | -0.511216130107698 -0.511216130107698
X9066 | -2.914377845591 -2.914377845591
X11213 | -2.2896732150112 -2.2896732150112
X6652 | -1.0101573045831 -1.0101573045831
X7766 | -0.978165345266497 -0.978165345266497
X434 | -2.7370886122808 -2.7370886122808
X11561 | -0.281681842636296 -0.281681842636296
X9723 | -2.167586656753 -2.167586656753
X7678 | -1.74779089191 -1.74779089191
X2 | -2.50386891933159 -2.50386891933159
X5425 | -0.312448872718996 -0.312448872718996
X5598 | -0.531999295111795 -0.531999295111795
X10047 | -2.8410128862597 -2.8410128862597
X6367 | -0.183849892811899 -0.183849892811899
X5834 | -0.420304401777699 -0.420304401777699
X397 | -2.32681886013599 -2.32681886013599
X3074 | -1.21633012569509 -1.21633012569509
X1100 | -2.0684928917326 -2.0684928917326
X907 | -0.658203432569294 -0.658203432569294
X10081 | -1.4372206537519 -1.4372206537519
X10880 | -1.2917601310183 -1.2917601310183
X11330 | -0.386304195038996 -0.386304195038996
X11944 | -0.0799901126883995 -0.0799901126883995
X10727 | -2.1222058902495 -2.1222058902495
X4294 | -1.1382309102919 -1.1382309102919
X8415 | -0.0645172940566994 -0.0645172940566994
X7577 | -0.0444606996606964 -0.0444606996606964
X11098 | -1.6649102603551 -1.6649102603551
X11736 | -0.260278441943299 -0.260278441943299
X7834 | -0.00485977646899727 -0.00485977646899727
X10834 | -0.328650373499897 -0.328650373499897
X449 | -0.148557079955999 -0.148557079955999
X6338 | -1.8720788620413 -1.8720788620413
X5478 | -2.68954751780259 -2.68954751780259
X1437 | -2.8566358848475 -2.8566358848475
X9809 | -2.5376040651463 -2.5376040651463
X8905 | -2.95279084495269 -2.95279084495269
X5988 | -0.570214204955896 -0.570214204955896
X7623 | -2.86983094015159 -2.86983094015159
X4094 | -2.4156154564116 -2.4156154564116
X3359 | -1.3923670817167 -1.3923670817167
X3358 | -0.339788516750595 -0.339788516750595
X9215 | -1.2388570457697 -1.2388570457697
X2978 | -1.8900082872715 -1.8900082872715
X4419 | -0.709103689994699 -0.709103689994699
X6257 | -0.0194643836002939 -0.0194643836002939
X6256 | -2.5951074573677 -2.5951074573677
X3195 | -2.2136638001539 -2.2136638001539
X1396 | -1.9772307677195 -1.9772307677195
X9599 | -1.3555646413006 -1.3555646413006
X10827 | -2.2945684678853 -2.2945684678853
X10501 | -1.5105637670495 -1.5105637670495
X6422 | -0.604580189567095 -0.604580189567095
