X5165 | -0.655639298725895 -0.655639298725895
X8485 | -0.787394936196499 -0.787394936196499
X3812 | -2.2065323023126 -2.2065323023126
X9171 | -0.353824554942598 -0.353824554942598
X9761 | -1.5557997969445 -1.5557997969445
X3112 | -0.594698164612097 -0.594698164612097
X10284 | -1.41017427714539 -1.41017427714539
X2128 | -1.3262114189565 -1.3262114189565
X2478 | -2.1343118541408 -2.1343118541408
X6417 | -0.964706384343998 -0.964706384343998
X3557 | -0.00831417599690099 -0.00831417599690099
X3556 | -1.3273777000141 -1.3273777000141
X9214 | -0.822888865834095 -0.822888865834095
X3379 | -0.173694288823796 -0.173694288823796
X9312 | -2.10411709081379 -2.10411709081379
X1264 | -2.766346906079 -2.766346906079
X8453 | -2.05460247024899 -2.05460247024899
X209 | -0.376689081313096 -0.376689081313096
X9544 | -0.8436361534987 -0.8436361534987
X9733 | -0.390524243703098 -0.390524243703098
X5415 | -0.199390991823797 -0.199390991823797
X5414 | -0.5876301547978 -0.5876301547978
X9409 | -2.2686478856486 -2.2686478856486
X9699 | -1.7458946232218 -1.7458946232218
X5430 | -1.590810232563 -1.590810232563
X5431 | -1.4554002508521 -1.4554002508521
X5308 | -2.0736781200394 -2.0736781200394
X5892 | -2.96237652981659 -2.96237652981659
X5239 | -0.0559476390480995 -0.0559476390480995
X2706 | -2.5532666179352 -2.5532666179352
X9262 | -2.9092994641978 -2.9092994641978
X1080 | -0.961659434018699 -0.961659434018699
X1081 | -0.282584361964901 -0.282584361964901
X6483 | -2.7858098270372 -2.7858098270372
X2264 | -1.2800661656074 -1.2800661656074
X6834 | -2.8200185461901 -2.8200185461901
X8220 | -2.6778056086041 -2.6778056086041
X9577 | -0.457626172341399 -0.457626172341399
X2886 | -2.8334086246323 -2.8334086246323
X9473 | -0.3571061175317 -0.3571061175317
X8899 | -2.2609401494265 -2.2609401494265
X7243 | -1.0796919136774 -1.0796919136774
X9596 | -1.0714374999516 -1.0714374999516
X9976 | -0.550629492150598 -0.550629492150598
X9489 | -0.5009197255131 -0.5009197255131
X3471 | -1.9866416382138 -1.9866416382138
X9604 | -0.754320433829001 -0.754320433829001
X8368 | -2.3686835111585 -2.3686835111585
X5479 | -0.368994636693998 -0.368994636693998
X9100 | -1.1751160982531 -1.1751160982531
X227 | -1.6311574657448 -1.6311574657448
X4987 | -2.8015164399985 -2.8015164399985
X4529 | -2.7351758745499 -2.7351758745499
X4354 | -2.2410295237787 -2.2410295237787
X4355 | -0.426392000634195 -0.426392000634195
X3866 | -2.3493422123138 -2.3493422123138
X8174 | -1.7482108189725 -1.7482108189725
X384 | -1.09374821372329 -1.09374821372329
X9720 | -0.0513368030078993 -0.0513368030078993
X1181 | -1.4239947914612 -1.4239947914612
X3373 | -1.1109859014396 -1.1109859014396
X494 | -2.6469463119283 -2.6469463119283
X1296 | -0.589063713094198 -0.589063713094198
X2274 | -2.7692621047609 -2.7692621047609
X3194 | -2.6479535261169 -2.6479535261169
X8143 | -2.0360711705871 -2.0360711705871
X3035 | -0.916925590485299 -0.916925590485299
X6496 | -1.0646574315615 -1.0646574315615
X6223 | -1.4157673618756 -1.4157673618756
X6222 | -2.0750848059543 -2.0750848059543
X4170 | -2.8043996156193 -2.8043996156193
X4171 | -2.8594275831711 -2.8594275831711
X8911 | -0.247313051484497 -0.247313051484497
X5812 | -2.1853864942677 -2.1853864942677
X1009 | -2.6620665688534 -2.6620665688534
X3732 | -1.8440221189521 -1.8440221189521
X1313 | -1.9318386744708 -1.9318386744708
X1284 | -1.4242332607974 -1.4242332607974
X9683 | -0.1685771425255 -0.1685771425255
X2816 | -1.800663339207 -1.800663339207
X38 | -0.3482665959746 -0.3482665959746
X39 | -0.0794798468704982 -0.0794798468704982
X1015 | -1.45327874575739 -1.45327874575739
X3007 | -0.738489843439297 -0.738489843439297
X9981 | -0.636259800754495 -0.636259800754495
X7974 | -0.0696712383068956 -0.0696712383068956
X8922 | -2.5960959121585 -2.5960959121585
X5050 | -2.3059332696721 -2.3059332696721
X8888 | -1.79368808562869 -1.79368808562869
X2782 | -1.8855522545055 -1.8855522545055
X10405 | -0.0322011269162985 -0.0322011269162985
X8753 | -0.4834718608763 -0.4834718608763
X8791 | -1.9601580002345 -1.9601580002345
X2989 | -0.934237627778195 -0.934237627778195
X7134 | -1.9379622044508 -1.9379622044508
X2267 | -2.4800331064034 -2.4800331064034
X448 | -2.10176209174099 -2.10176209174099
X2193 | -2.4126941382419 -2.4126941382419
X7384 | -2.74790338869209 -2.74790338869209
X2908 | -1.8093949193135 -1.8093949193135
X2909 | -2.4490847401321 -2.4490847401321
X1752 | -1.3107786944602 -1.3107786944602
X8871 | -2.8287504343316 -2.8287504343316
X6193 | -0.00822044676169753 -0.00822044676169753
X6514 | -0.439314221497597 -0.439314221497597
X6556 | -2.2240774431266 -2.2240774431266
X8940 | -1.9723797552288 -1.9723797552288
X9001 | -0.802005999488799 -0.802005999488799
X9845 | -2.86921818251719 -2.86921818251719
X5561 | -0.246935155475498 -0.246935155475498
X2469 | -1.6370282708667 -1.6370282708667
X2468 | -1.9090752101038 -1.9090752101038
X3817 | -2.2184989205562 -2.2184989205562
X2855 | -0.405980207025998 -0.405980207025998
X7934 | -0.308213588548796 -0.308213588548796
X6180 | -0.673437291523499 -0.673437291523499
X1987 | -0.602536552352795 -0.602536552352795
X3573 | -2.6640460495837 -2.6640460495837
X3487 | -1.7816042555496 -1.7816042555496
X2748 | -0.302482381928698 -0.302482381928698
X7302 | -1.0366379690822 -1.0366379690822
X8021 | -1.0656724974979 -1.0656724974979
X686 | -0.391137023689197 -0.391137023689197
X6696 | -1.0424148025923 -1.0424148025923
X9763 | -0.321332073072 -0.321332073072
X2749 | -1.9254329034593 -1.9254329034593
X5882 | -1.7896773896646 -1.7896773896646
X3992 | -2.9450607695617 -2.9450607695617
X2002 | -1.7221262608655 -1.7221262608655
X7857 | -2.4532476793975 -2.4532476793975
X1382 | -2.9773706621491 -2.9773706621491
X3529 | -0.851452413015096 -0.851452413015096
X8289 | -0.012327022617697 -0.012327022617697
X9380 | -0.0329854222946011 -0.0329854222946011
X9239 | -0.163926359033198 -0.163926359033198
X4540 | -0.0694202624726969 -0.0694202624726969
X2836 | -2.0691073054914 -2.0691073054914
X7597 | -2.5225710568484 -2.5225710568484
X2828 | -0.135221493663295 -0.135221493663295
X3619 | -0.590275514870896 -0.590275514870896
X7596 | -0.494710281025597 -0.494710281025597
X1342 | -2.7188963969238 -2.7188963969238
X430 | -2.5842369440943 -2.5842369440943
X978 | -0.984374555759096 -0.984374555759096
X2896 | -1.6880735170562 -1.6880735170562
X396 | -0.6159140327945 -0.6159140327945
X8944 | -2.7472189189866 -2.7472189189866
X6112 | -0.9585714200512 -0.9585714200512
X6113 | -1.3171610883437 -1.3171610883437
X144 | -0.824332938529601 -0.824332938529601
X9260 | -0.813360634725598 -0.813360634725598
X3782 | -1.1048982515931 -1.1048982515931
X8507 | -0.418410869780899 -0.418410869780899
X2999 | -0.486404018243796 -0.486404018243796
X2998 | -2.0017274755519 -2.0017274755519
X1976 | -0.990986636141301 -0.990986636141301
X6670 | -0.738738556858195 -0.738738556858195
X1717 | -0.629017376108095 -0.629017376108095
X1316 | -2.9236866042484 -2.9236866042484
X1317 | -2.2945162206888 -2.2945162206888
X5319 | -0.270981560926899 -0.270981560926899
X5318 | -2.6414442665409 -2.6414442665409
X1770 | -2.98076249356379 -2.98076249356379
X10145 | -0.581948158331201 -0.581948158331201
X242 | -1.2383772404865 -1.2383772404865
X7804 | -2.5744978438597 -2.5744978438597
X8058 | -0.0406371485441994 -0.0406371485441994
X2346 | -1.7292029138189 -1.7292029138189
X4678 | -1.3156181077939 -1.3156181077939
X4679 | -2.8851082334295 -2.8851082334295
X1845 | -2.1628341476899 -2.1628341476899
X9089 | -0.476210966007798 -0.476210966007798
X5512 | -0.1598717432935 -0.1598717432935
X8144 | -0.158670447534 -0.158670447534
X8691 | -0.839833524310997 -0.839833524310997
X2466 | -1.193445389159 -1.193445389159
X10370 | -0.000738904578597044 -0.000738904578597044
X604 | -1.1905243343208 -1.1905243343208
X427 | -0.748848828021501 -0.748848828021501
X3166 | -1.3926438186318 -1.3926438186318
X3167 | -2.8274562999141 -2.8274562999141
X7257 | -1.5199823824223 -1.5199823824223
X7256 | -0.152033933205495 -0.152033933205495
X9537 | -1.565987613285 -1.565987613285
X8547 | -2.5698821016122 -2.5698821016122
X5508 | -2.545703109121 -2.545703109121
X9149 | -0.124237813521198 -0.124237813521198
X3297 | -1.21498060435989 -1.21498060435989
X9654 | -1.0191835071892 -1.0191835071892
X9990 | -0.00912168365899646 -0.00912168365899646
X1453 | -1.9041805041488 -1.9041805041488
X319 | -0.584043425973498 -0.584043425973498
X6397 | -0.8036723979749 -0.8036723979749
X6396 | -2.9359076949769 -2.9359076949769
X2041 | -2.9167377690319 -2.9167377690319
X9274 | -2.04300276492719 -2.04300276492719
X2033 | -1.22318800189529 -1.22318800189529
X2269 | -2.8116917903535 -2.8116917903535
X760 | -2.743596467888 -2.743596467888
X9779 | -0.0603149123489999 -0.0603149123489999
X6970 | -0.817707051755896 -0.817707051755896
X6169 | -1.4048711699434 -1.4048711699434
X2325 | -0.148994296090699 -0.148994296090699
X9939 | -0.826258779969095 -0.826258779969095
X2344 | -0.7916589151137 -0.7916589151137
X5808 | -1.2060258861166 -1.2060258861166
X9144 | -2.7701296547894 -2.7701296547894
X1158 | -2.9912762674503 -2.9912762674503
X287 | -2.983030250296 -2.983030250296
X9493 | -1.1999948266894 -1.1999948266894
X1590 | -0.785014556022396 -0.785014556022396
X9606 | -1.39123355085029 -1.39123355085029
X2233 | -1.7397582738195 -1.7397582738195
X9095 | -2.3859819530044 -2.3859819530044
X8679 | -0.0556303344201012 -0.0556303344201012
X8159 | -2.4765042050276 -2.4765042050276
X9551 | -0.0162539854645942 -0.0162539854645942
X7746 | -1.0129421660677 -1.0129421660677
X5428 | -0.705522854346796 -0.705522854346796
X5429 | -0.8977529313415 -0.8977529313415
X8228 | -2.3691734557506 -2.3691734557506
X9581 | -0.558507400564899 -0.558507400564899
X3873 | -0.5449200107251 -0.5449200107251
X8087 | -2.5966147310101 -2.5966147310101
X6769 | -0.368201545206794 -0.368201545206794
X9484 | -2.952231999021 -2.952231999021
X4847 | -2.1834049432073 -2.1834049432073
X9361 | -2.5533666727133 -2.5533666727133
X1170 | -1.6532854805701 -1.6532854805701
X8463 | -0.683429252821995 -0.683429252821995
X5936 | -2.9271154340822 -2.9271154340822
X8456 | -2.8456802756991 -2.8456802756991
X1141 | -0.1409684086684 -0.1409684086684
X5884 | -1.9664268423803 -1.9664268423803
X7845 | -1.01050590164959 -1.01050590164959
X8508 | -2.3778415450362 -2.3778415450362
X5879 | -1.3082807839383 -1.3082807839383
X718 | -1.0192691695411 -1.0192691695411
X4954 | -2.1234921575525 -2.1234921575525
X1998 | -2.5137454303913 -2.5137454303913
X2928 | -1.93519671214749 -1.93519671214749
X2122 | -2.74309216090479 -2.74309216090479
X8024 | -1.72436107252729 -1.72436107252729
X9816 | -0.766739113954799 -0.766739113954799
X3444 | -1.1261342803482 -1.1261342803482
X1221 | -0.167903203982895 -0.167903203982895
X9734 | -0.624817562056698 -0.624817562056698
X3158 | -2.1129655586556 -2.1129655586556
X1618 | -1.83744673174809 -1.83744673174809
X8987 | -1.1540386669804 -1.1540386669804
X848 | -1.0846617424395 -1.0846617424395
X3758 | -2.6407519367058 -2.6407519367058
X3759 | -1.57937281765049 -1.57937281765049
X3390 | -2.442893830128 -2.442893830128
X8999 | -2.1106081274338 -2.1106081274338
X7277 | -1.850651063025 -1.850651063025
X9567 | -2.2657914762385 -2.2657914762385
X3144 | -2.9901512407232 -2.9901512407232
X5969 | -2.4836311794352 -2.4836311794352
X5968 | -2.7278458555229 -2.7278458555229
